loc_new;aisle;bayint;level;bin;recdate;tglproduksi;usiaproduk;expired;qty;batchvendor;kategori;sloc_comb;sloc_description;qtybag
AA.01;AA;1;1;A;11/12/23 09.59;19/07/22;748;19/07/24 00.00;6000;220719;LOKAL;0056 - RAMAPET IRS;RAMAPET IRS;6
AA.01;AA;1;1;B;11/12/23 09.59;23/06/22;774;23/06/24 00.00;1000;220623;LOKAL;0056 - RAMAPET IRS;RAMAPET IRS;1
AA.01;AA;1;1;F;11/12/23 09.59;15/07/22;752;15/07/24 00.00;1000;220715;LOKAL;0056 - RAMAPET IRS;RAMAPET IRS;1
AA.01;AA;1;1;G;11/12/23 09.59;10/04/22;848;10/04/24 00.00;2000;220410;LOKAL;0056 - RAMAPET IRS;RAMAPET IRS;2
AA.02;AA;2;1;A;11/12/23 09.59;18/06/22;779;18/06/24 00.00;1000;220618;LOKAL;0056 - RAMAPET IRS;RAMAPET IRS;1
AA.02;AA;2;1;B;11/12/23 09.59;19/06/22;778;19/06/24 00.00;1000;220619;LOKAL;0056 - RAMAPET IRS;RAMAPET IRS;1
AA.02;AA;2;1;C;11/12/23 09.59;13/06/22;784;13/06/24 00.00;2000;220613;LOKAL;0056 - RAMAPET IRS;RAMAPET IRS;2
AA.02;AA;2;1;D;11/12/23 09.59;22/06/22;775;22/06/24 00.00;1000;220622;LOKAL;0056 - RAMAPET IRS;RAMAPET IRS;1
AA.02;AA;2;1;F;11/12/23 09.59;23/06/22;774;23/06/24 00.00;1000;220623;LOKAL;0056 - RAMAPET IRS;RAMAPET IRS;1
AA.02;AA;2;1;H;11/12/23 09.59;07/06/22;790;07/06/24 00.00;3000;220607;LOKAL;0056 - RAMAPET IRS;RAMAPET IRS;3
AA.02;AA;2;1;I;11/12/23 09.59;11/06/22;786;11/06/24 00.00;1000;220611;LOKAL;0056 - RAMAPET IRS;RAMAPET IRS;1
AA.02;AA;2;1;K;11/12/23 09.59;10/06/22;787;10/06/24 00.00;2000;220610;LOKAL;0056 - RAMAPET IRS;RAMAPET IRS;2
AA.02;AA;2;1;L;11/12/23 09.59;24/06/22;773;24/06/24 00.00;1000;220624;LOKAL;0056 - RAMAPET IRS;RAMAPET IRS;1
AA.02;AA;2;1;M;11/12/23 09.59;03/06/22;794;03/06/24 00.00;1000;220603;LOKAL;0056 - RAMAPET IRS;RAMAPET IRS;1
AA.08;AA;8;1;A;11/12/23 09.59;19/07/22;748;19/07/24 00.00;6000;220719;LOKAL;0056 - RAMAPET IRS;RAMAPET IRS;6
AA.08;AA;8;1;B;11/12/23 09.59;10/06/22;787;10/06/24 00.00;2000;220610;LOKAL;0056 - RAMAPET IRS;RAMAPET IRS;2
AA.08;AA;8;1;C;11/12/23 09.59;15/07/22;752;15/07/24 00.00;2000;220715;LOKAL;0056 - RAMAPET IRS;RAMAPET IRS;2
AA.08;AA;8;1;D;11/12/23 09.59;02/06/22;795;02/06/24 00.00;1000;220602;LOKAL;0056 - RAMAPET IRS;RAMAPET IRS;1
AA.08;AA;8;1;E;11/12/23 09.59;09/06/22;788;09/06/24 00.00;1000;220609;LOKAL;0056 - RAMAPET IRS;RAMAPET IRS;1
